StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,log_diffA1,answerA2,diffA2,log_diffA2,answerA3,diffA3,log_diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion,distractor
15/11/2021 04:38,15/11/2021 05:10,IP Address,197.90.171.56,100,1905,True,15/11/2021 05:10,R_z1qjtxG78u44aid,-26.38110352,27.83760071,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,3,easy,M,M,M,WHAT_Ql,2.56,15.58,16.37,1,354,M,WHAT_Ql_M_E,M_E,3,92.989,29,-26.44,4.731454808,27,-11.42,3.529196268,27,-10.63,3.42693562,Neither agree nor disagree,0,5,4,3,40,h
15/11/2021 04:38,15/11/2021 05:10,IP Address,197.90.171.56,100,1905,True,15/11/2021 05:10,R_z1qjtxG78u44aid,-26.38110352,27.83760071,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,9,hard,H,H,H,WHAT_Ql,1.93,21.24,16.73,1,445,H,WHAT_Ql_H_H,H_H,4,105.726,30,-28.07,4.817367438,16,5.24,2.423578171,17,-0.27,-1.340075442,Agree,1,4,4,4,41,h
15/11/2021 04:38,15/11/2021 05:10,IP Address,197.90.171.56,100,1905,True,15/11/2021 05:10,R_z1qjtxG78u44aid,-26.38110352,27.83760071,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,3,easy,H,M,E,WHERE,12.67,19.96,24.86,-1,298,E,WHERE_E_E,E_E,3,128.637,14,-1.33,0.541019153,8,11.96,3.595145568,40,-15.14,3.932155684,Neither agree nor disagree,0,3,5,3,42,h
15/11/2021 04:38,15/11/2021 05:10,IP Address,197.90.171.56,100,1905,True,15/11/2021 05:10,R_z1qjtxG78u44aid,-26.38110352,27.83760071,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,3,easy,E,M,E,WHERE,13.46,15.53,13.37,-1,379,E,WHERE_E_E,E_E,4,75.025,11,2.46,1.370164281,8,7.53,2.936402378,7,6.37,2.699329526,Disagree,1,4,3,4,43,h
15/11/2021 04:38,15/11/2021 05:10,IP Address,197.90.171.56,100,1905,True,15/11/2021 05:10,R_z1qjtxG78u44aid,-26.38110352,27.83760071,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,6,medium,E,H,E,WHERE,11.85,14.86,31.36,-1,466,E,WHERE_E_M,E_M,3,93.932,8,3.85,1.99095486,8,6.86,2.804260116,38,-6.64,2.758089934,Agree,0,3,4,3,44,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,29,engine temperature,radio on,wiper on gte 1,h0v0,9,hard,E,E,E,WHAT_Qn,27.13,34.69,24.33,-1,270,E,WHAT_Qn_E_H,E_H,4,135.482,36,-8.87,3.169123281,48,-13.31,3.747924416,25,-0.67,-0.330973234,Disagree,1,3,3,4,45,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,1,electricity consumption,gps on,wiper on gte 1,h0v0,9,hard,E,M,E,WHAT_Qn,46.44,42.6,28.48,-1,337,E,WHAT_Qn_E_H,E_H,2,64.28,40,6.44,2.714795011,38,4.6,2.240314329,26,2.48,1.381283373,Disagree,1,3,3,4,46,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,6,medium,H,H,H,WHAT_Qn,55.88,56.78,49.47,1,412,H,WHAT_Qn_H_M,H_M,2,110.654,65,-9.12,3.20867332,54,2.78,1.538538164,47,2.47,1.375734539,Agree,1,4,3,4,47,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,6,medium,H,E,H,WHAT_Ql,3,7.29,51.71,1,277,E,WHAT_Ql_E_M,E_M,2,113.376,7,-4,2.044394119,9,-1.71,0.875780063,46,5.71,2.544732656,Agree,1,4,4,4,48,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,4,suspension force,gps on,wiper on gte 1,h0v0,6,medium,H,M,E,WHAT_Ql,24.5,75.88,30.78,1,358,M,WHAT_Ql_M_M,M_M,2,169.081,26,-1.5,0.700439718,75,0.88,0.007195501,31,-0.22,-1.535331733,Agree,1,4,4,4,49,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,8,hard,M,M,M,WHAT_Ql,5.71,15.58,33.33,1,459,M,WHAT_Ql_M_H,M_H,3,154.584,5,0.71,-0.260151897,21,-5.42,2.47118746,33,0.33,-1.13606155,Disagree,0,4,4,3,50,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,67,electricity consumption,wiper on,gps on gte 1,h0v0,6,medium,H,M,H,WHERE,27.96,25.28,25.19,-1,310,H,WHERE_H_M,H_M,2,46.234,25,2.96,1.625270489,49,-23.72,4.575614878,26,-0.81,-0.09696173,Agree,0,1,1,2,51,h
15/11/2021 04:50,15/11/2021 05:11,IP Address,197.228.220.128,100,1279,True,15/11/2021 05:11,R_3Ibfdqw0O0UZoE7,-26.38110352,27.83760071,anonymous,EN,59,electricity consumption,radio on,wiper on gte 1,h0v0,6,medium,M,M,M,WHERE,31.47,38.08,33.81,1,385,M,WHERE_M_M,M_M,2,79.727,46,-14.53,3.873321063,79,-40.92,5.359134582,33,0.81,-0.09696173,Disagree,0,2,1,3,52,h
