cntrQ,image_name,image_link,num_quality_changes,numMask,alt_diff_qual,alt_diff_mask,idc,flips,focus,changesMaskStatus,refined_mask
215,idc12-sF-gO-qry_wO_gte_1-flips_h1v1-nMasks_12-dMask_hard-dCmplx_HMH-fcs_WHAT_Ql-bsln_15.72)24.74)49.48_f-cntrQ_215.png,IM_3n2oLkhM4koT7Ia,1,12,easy,hard,12,h1v1,WHAT_Ql,23,hard
216,idc67-eC-wO-qry_hO_gte_1-flips_h1v1-nMasks_14-dMask_hard-dCmplx_HHH-fcs_WHAT_Ql-bsln_12.23)20.17)54.07_f-cntrQ_216.png,IM_25YDiSU56ArRiya,12,14,hard,hard,67,h1v1,WHAT_Ql,27,hard
271,idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EEE-fcs_WHAT_Ql-bsln_5.84)78.73)12.38_t-cntrQ_271.png,IM_8AnQqVSjmTrthwG,1,4,easy,easy,1,h0v0,WHAT_Ql,8,easy
272,idc68-fC-gO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EME-fcs_WHAT_Ql-bsln_33.24)46.04)80.65_f-cntrQ_272.png,IM_3CTDeBMrnvj8vKC,9,4,medium,easy,68,h0v0,WHAT_Ql,6,easy
273,idc29-eG-rO-qry_wO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_EHE-fcs_WHAT_Ql-bsln_49.99)71.60)65.02_t-cntrQ_273.png,IM_7NWVGe3vLcWvSwm,13,4,hard,easy,29,h0v0,WHAT_Ql,7,easy
274,idc69-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_MEE-fcs_WHAT_Ql-bsln_1.64)15.02)54.11_t-cntrQ_274.png,IM_cRVaQWRNKOCe4qa,5,4,easy,easy,69,h0v0,WHAT_Ql,7,easy
275,idc14-eG-gO-qry_sF_gte_43.78-flips_h0v0-nMasks_6-dMask_easy-dCmplx_MME-fcs_WHAT_Ql-bsln_7.26)78.21)12.86_f-cntrQ_275.png,IM_7aOrBQxnalQduGW,5,6,easy,medium,14,h0v0,WHAT_Ql,11,medium
276,idc31-eC-gO-qry_wO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_MHE-fcs_WHAT_Ql-bsln_19.46)58.62)43.80_f-cntrQ_276.png,IM_4YJaiuC2ZC8mFts,17,2,hard,easy,31,h0v0,WHAT_Ql,3,easy
277,idc4-sF-gO-qry_hO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HEE-fcs_WHAT_Ql-bsln_21.37)33.52)72.94_f-cntrQ_277.png,IM_3eEBxdzpnSRyNiS,5,3,easy,easy,4,h0v0,WHAT_Ql,5,easy
278,idc39-eG-wO-qry_hO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HME-fcs_WHAT_Ql-bsln_0.50)72.51)13.99_f-cntrQ_278.png,IM_5jo69GryACI0PSS,7,3,medium,easy,39,h0v0,WHAT_Ql,5,easy
279,idc33-eG-gO-qry_hO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_HHE-fcs_WHAT_Ql-bsln_0)18.64)12.35_t-cntrQ_279.png,IM_0026EKCjwQDNs7c,12,4,hard,easy,33,h0v0,WHAT_Ql,7,easy
280,idc63-eG-gO-qry_rO_gte_1-flips_h0v0-nMasks_5-dMask_easy-dCmplx_EEM-fcs_WHAT_Ql-bsln_55.08)84.16)66.90_f-cntrQ_280.png,IM_1GGtDcAhSrLffUO,1,5,easy,easy,63,h0v0,WHAT_Ql,8,easy
281,idc32-sF-rO-qry_eT_gte_43.71-flips_h0v0-nMasks_5-dMask_easy-dCmplx_EMM-fcs_WHAT_Ql-bsln_21.88)56.70)24.94_t-cntrQ_281.png,IM_aUXkdxqTZ6COufI,11,5,medium,easy,32,h0v0,WHAT_Ql,9,medium
282,idc54-sF-rO-qry_gO_gte_1-flips_h0v0-nMasks_5-dMask_easy-dCmplx_EHM-fcs_WHAT_Ql-bsln_17.67)33.47)66.11_t-cntrQ_282.png,IM_88KFIglktloGjRA,17,5,hard,easy,54,h0v0,WHAT_Ql,8,easy
283,idc61-eC-gO-qry_eT_gte_42.31-flips_h0v0-nMasks_3-dMask_easy-dCmplx_MEM-fcs_WHAT_Ql-bsln_31.47)54.18)35.38_f-cntrQ_283.png,IM_0MpcbIilOzm7NY2,5,3,easy,easy,61,h0v0,WHAT_Ql,6,easy
